id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,1.0,0.6666666666666666,0.8,,soroa|vossen,vossen|rigau|agirre|soroa|monachini|bartolini,rigau|agirre|monachini|bartolini
P12-2071,-1,0.0,-1,,choi|palmer,choi|palmer,
W04-1217,0.0,0.0,0.0,huy nguyen|malvina nissim,nguyen|dingare|sinclair|manning|finkel|nissim,finkel|dingare|nguyen|nissim|manning|sinclair,huy nguyen|malvina nissim
P06-1087,0.0,0.0,0.0,features|and meni adler and michael elhadad,goldberg|adler|elhadad,goldberg|adler|elhadad,features|and meni adler and michael elhadad
N06-4007,-1,0.0,-1,,pedersen|kulkarni,pedersen|kulkarni,
L08-1192,-1,0.0,-1,,melnar|liu,melnar|liu,
W00-1404,0.75,1.0,0.8571428571428571,authoring,,brun|dymetman|lux,authoring|brun|dymetman|lux
P04-2010,-1,0.0,-1,,kouchnir,kouchnir,
E87-1010,0.0,0.0,0.0,and nicos frixou,atwell|frixou drakos,atwell|frixou drakos,and nicos frixou
W09-0503,0.0,0.0,0.0,dictations johannes matiasek|firstname. lastname@ofai. at harald trost,matiasek|jancsary|klein|trost,matiasek|jancsary|klein|trost,dictations johannes matiasek|firstname. lastname@ofai. at harald trost
P11-1008,-1,0.0,-1,,rush|collins,rush|collins,
W04-0845,-1,0.0,-1,,ngai|wu|carpuat|wang,ngai|wu|carpuat|wang|wang,
W06-1909,-1,0.0,-1,,hartrumpf,hartrumpf,
H89-1017,0.0,0.0,0.0,|hauptmann|ward|smith|and philip werner,young,young,|hauptmann|ward|smith|and philip werner
S13-1022,-1,0.0,-1,,yeh,yeh,
H94-1079,-1,0.0,-1,,paul,paul,
W96-0303,-1,0.0,-1,,briscoe|copestake,briscoe|copestake,
I05-4003,1.0,1.0,1.0,,,zhang|kashioka,zhang|kashioka
W10-1815,-1,0.0,-1,,alm,alm,
P07-2027,-1,0.0,-1,,gupta|purver|jurafsky,gupta|purver|jurafsky,
P13-1038,-1,0.0,-1,,mizuno|narisawa|watanabe|okazaki|inui,narisawa|watanabe|mizuno|okazaki|inui,
C10-2078,-1,0.0,-1,,li|sporleder,li|sporleder,
P08-2032,0.5,0.3333333333333333,0.4,,tsuchiya|hida,tsuchiya|hida|nakagawa,|nakagawa
J13-1007,0.5,0.5,0.5,,elhadad,goldberg|elhadad,goldberg|
W11-2153,0.0,0.0,0.0,mt|martin popel,popel|marecek|green|zabokrtsky,popel|marecek|green|zabokrtsky,mt|martin popel
D08-1047,-1,0.0,-1,,okazaki|tsuruoka|ananiadou|tsujii,okazaki|tsuruoka|ananiadou|tsujii,
P04-1039,-1,0.0,-1,,diab,diab,
J03-3004,0.5,0.5,0.5,,way,way|gough,|gough
C10-2109,-1,0.0,-1,,parton|mckeown,parton|mckeown,
N12-1038,-1,0.0,-1,,scaiano|inkpen,scaiano|inkpen,
P06-1091,-1,0.0,-1,,tillmann|zhang,tillmann|zhang,
W00-1006,-1,0.0,-1,,schauer,schauer,
W97-1409,0.0,0.0,0.0,elisabeth andre,andre|rist,andre|rist,elisabeth andre
W02-1906,-1,0.0,-1,,llopis|vicedo|ferrandez,llopis|vicedo|ferrandez,
D07-1063,1.0,0.6666666666666666,0.8,,tamura,tamura|takamura|okumura,takamura|okumura
P08-1035,-1,0.0,-1,,nomoto,nomoto,
S10-1097,-1,0.0,-1,,pak|paroubek,pak|paroubek,
P06-2041,0.0,0.0,0.0,,hall|nivre|nilsson,hall|nivre|nilsson,
C02-1066,0.0,0.0,0.0,and nissim francez,jaeger|francez|wintner,jaeger|francez|wintner,and nissim francez
E89-1007,0.5,1.0,0.6666666666666666,rules,,ritchie,rules|ritchie
W11-2037,-1,0.0,-1,,artstein,artstein,
P10-1050,1.0,0.5,0.6666666666666666,,fujiwara|kitsuregawa,kaji|fujiwara|yoshinaga|kitsuregawa,kaji|yoshinaga
W02-0708,0.5714285714285714,0.5,0.5333333333333333,wallace|kay peterson|lori levin,gates|levin|peterson|lavie,levin|gates|pianta|cattoni|mana|peterson|lavie|pianesi,lori levin|wallace|kay peterson|pianesi|pianta|cattoni|mana
P13-1083,0.0,0.0,0.0,|hiroya takamura,okumura|watanabe|tamura|takamura|sumita,tamura|watanabe|sumita|takamura|okumura,|hiroya takamura
N12-1077,-1,0.0,-1,,yih|qazvinian,yih|qazvinian,
W05-1202,0.0,0.0,0.0,julie weeds,weeds|weir|keller,weeds|weir|keller,julie weeds
W09-3415,-1,0.0,-1,,jaimai|chimeddorj,jaimai|chimeddorj,
H91-1021,0.0,0.0,0.0,lewis norton|fritzson|jim meldlnger,norton|linebarger|dahl|nguyen,norton|linebarger|dahl|nguyen,lewis norton|fritzson|jim meldlnger
P94-1003,0.6666666666666666,0.5,0.5714285714285715,chris brew,brew|manandhar,grover|brew|manandhar|moens,grover|chris brew|moens
W06-1515,-1,0.0,-1,,kallmeyer|richter,kallmeyer|richter,
C10-1050,0.0,0.0,0.0,katsuhiko hayashi|katsuhito sudoh,sudoh|duh|yamamoto|hayashi|tsukada,hayashi|tsukada|sudoh|duh|yamamoto,katsuhiko hayashi|katsuhito sudoh
P09-1025,-1,0.0,-1,,mcintyre|lapata,mcintyre|lapata,
P06-2125,-1,0.0,-1,,zhu|li,zhu|li,
L08-1554,-1,0.0,-1,,bejan|harabagiu,bejan|harabagiu,
W08-0125,0.0,0.0,0.0,raquel fern ´ andez,ehlen|frampton|peters|purver|fernandez,fernandez|frampton|ehlen|purver|peters,raquel fern ´ andez
W03-0418,-1,0.0,-1,,jones|thompson,jones|thompson,
