id	Precision	Recall	Truth	Predicted
W10-3301		0.0	Piek Vossen|German Rigau|Eneko Agirre|Aitor Soroa|Monica Monachini|Roberto Bartolini	
H89-2016		0.0	David S Pallett	
W05-0109		0.0	Björn Gambäck|Gunnar Eriksson|Athanassia Fourla	
P12-2071		0.0	Jinho D Choi|Martha Palmer	
M93-1002		0.0	Boyan A Onyshkevych|Mary Ellen Okurowski|Lynn Carlson	
I08-4029		0.0	Yu Chieh Wu|Jie Chi Yang|Yue Shi Lee	
C94-1028		0.0	Max I Kanovich|Zoya M Shalyapina	
W09-1325		0.0	Maria Liakata|Claire Q|Larisa N Soldatova	
W04-1217		0.0	Jenny Rose Finkel|Shipra Dingare|Huy Nguyen|Malvina Nissim|Christopher D Manning|Gail Sinclair	
P06-1087		0.0	Yoav Goldberg|Meni Adler|Michael Elhadad	
D13-1180		0.0	Hongbo Chen|Ben He	
M93-1027		0.0	James Pustejovsky	
W03-1807		0.0	Scott S L Piao|Paul Rayson|Dawn Archer|Andrew T Wilson|Tony McEnery	
X96-1031		0.0	Marc R Ilgen|David A Rushall	
W11-1901		0.0	Sameer S Pradhan|Lance A Ramshaw|Mitchell P Marcus|Martha Palmer|Ralph M Weischedel|Nianwen Xue	
W06-1607		0.0	George Foster|Roland Kuhn|Howard Johnson	
N06-4007		0.0	Ted Pedersen|Anagha Kulkarni	
L08-1192		0.0	Lynette Melnar|Chen Liu	
W00-1404		0.0	Caroline Brun|Marc Dymetman|Veronika Lux	
C96-2180		0.0	Andrew Bredenkamp|Frederik Fouvry|Thierry Declerck	
P04-2010		0.0	Beata Kouchnir	
W04-1710		0.0	Aurélien Max	
E87-1010		0.0	Eric Steven Atwell|Nicos Frixou Drakos	
W09-0503		0.0	Johannes Matiasek|Jeremy Jancsary|Alexandra Klein|Harald Trost	
P11-1008		0.0	Alexander M Rush|Michael John Collins	
C86-1041		0.0	Seiki Akama|Masahito Kawamori	
A94-1034		0.0	Fathi Debili|Elyes Sammouda|Adnane Zribi	
W04-0845		0.0	Grace Ngai|Dekai Wu|Marine Carpuat|Chi Shing Wang|Chi Yung Wang	
W06-1909		0.0	Sven Hartrumpf	
H89-1017		0.0	Sheryl R Young	
J88-4002		0.0	James Clifford	
C94-1096		0.0	Robert Wing Pong Luk	
P11-2107		0.0	Taniya Mishra|Srinivas Bangalore	
H92-1101		0.0	Harvey F Silverman	
S13-1022		0.0	Eric Yeh	
H94-1079		0.0	Douglas B Paul	
W96-0303		0.0	Ted Briscoe|Ann Copestake	
J99-4001		0.0	Graeme D Ritchie	
W13-3110		0.0	Daniel Anechitei|Eugen Ignat	
I05-4003		0.0	Yan Zhang|Hideki Kashioka	
W10-1815		0.0	Cecilia Ovesdotter Alm	
P84-1086		0.0	Makoto Nagao|Toyoaki Nishida|Jun ichi Tsujii	
N03-5007		0.0	Mark Wasson	
W13-2131		0.0	Bikash Gyawali|Claire Gardent	
W12-4507		0.0	Bo Yuan|Qingcai Chen|Yang Xiang|Xiaolong Wang|Liping Ge|Zengjian Liu|Meng Liao|Xianbo Si	
P07-2027		0.0	Surabhi Gupta|Matthew Purver|Daniel Jurafsky	
C73-2021		0.0	Gerd Lau|Hans Dieter Lutz	
W10-4138		0.0	Tian Jian Jiang|Shih Hung Liu|Cheng Lung Sung|Wen Lian Hsu	
P13-1038		0.0	Katsuma Narisawa|Yotaro Watanabe|Junta Mizuno|Naoaki Okazaki|Kentaro Inui	
C10-2078		0.0	Linlin Li|Caroline Sporleder	
W09-3404		0.0	Ahmed Muaz|Aasim Ali|Sarmad Hussain	
W09-1607		0.0	Rahul Katragadda|Prasad Pingali|Vasudeva Varma	
C96-1044		0.0	Marc Dymetman|Max Copperman	
C04-1062		0.0	John Niekrasz|Alexander Gruenstein|Lawrence Cavedon	
P08-2032		0.0	Masatoshi Tsuchiya|Shinya Hida|Seiichi Nakagawa	
J13-1007		0.0	Yoav Goldberg|Michael Elhadad	
W99-0201		0.0	Amit Bagga|Breck Baldwin	
W10-3002		0.0	Buzhou Tang|Wang XiaoLong|Xuan Wang|Bo Yuan|Shixi Fan	
W02-1601		0.0	Mosleh Hmoud Al Adhaileh|Enya Kong Tang|Zaharin Yusoff	
W11-2153		0.0	Martin Popel|David Mareček|Nathan Green|Zdeněk Žabokrtský	
W08-0405		0.0	Christoph Tillmann	
W98-1223		0.0	Antal van den Bosch|Ton Weijters|Walter Daelemans	
D08-1047		0.0	Naoaki Okazaki|Yoshimasa Tsuruoka|Sophia Ananiadou|Jun ichi Tsujii	
P04-1039		0.0	Mona Diab	
W10-0402		0.0	Ulrich Schäfer|Uwe Kasterka	
S13-2016		0.0	Héctor Dávila|Antonio Fernández Orquín|Alexander Chávez|Yoan Gutiérrez|Armando Collazo|José I Abreu|Andrés Montoyo|Rafael Muñoz	
J03-3004		0.0	Andy Way|Nano Gough	
J05-2005		0.0	Florian Wolf|Edward Gibson	
C10-2109		0.0	Kristen Parton|Kathleen R McKeown	
W00-1313		0.0	Yibo Zhang|Le Sun|Lin Du|Yufang Sun	
P09-1063		0.0	Yang Liu|Yajuan Lü|Qun Liu	
P13-1042		0.0	Qingqing Cai|Alexander Yates	
N12-1038		0.0	Martin Scaiano|Diana Inkpen	
P86-1003		0.0	Mary P Harper|Eugene Charniak	
J85-4001		0.0	G Edward Barton Jr	
P06-1091		0.0	Christoph Tillmann|Tong Zhang	
P07-2007		0.0	Eiichiro Sumita|Tohru Shimizu|Satoshi Nakamura	
J94-4006		0.0	Mary P Harper	
W00-1006		0.0	Holger Schauer	
D07-1015		0.0	Terry Koo|Amir Globerson|Xavier Carreras|Michael John Collins	
W97-1409		0.0	Elisabeth Andre|Thomas Rist	
W02-1906		0.0	Fernando Llopis|Jose Luis Vicedo|Antonio Ferrandez	
W97-1202		0.0	Peter Spyns|F Deprez|L Van Tichelen|B Van Coile	
E99-1018		0.0	Giorgos S Orphanos|Dimitris N Christodoulakis	
W01-1009		0.0	Boris Katz|Jimmy Lin|Sue Felshin	
W04-3008		0.0	Roberto Pieraccini	
W03-0508		0.0	Hans van Halteren|Simone Teufel	
D07-1063		0.0	Akihiro Tamura|Hiroya Takamura|Manabu Okumura	
P08-1035		0.0	Tadashi Nomoto	
A92-1023		0.0	Sean Boisen|Madeleine Bates	
P10-1010		0.0	Steven Abney|Steven Bird	
S10-1097		0.0	Alexander Pak|Patrick Paroubek	
W11-0414		0.0	Ravi Teja Rachakonda|Dipti Misra Sharma	
P06-2041		0.0	Johan Hall|Joakim Nivre|Jens Nilsson	
L08-1023		0.0	Laura Kallmeyer|Timm Lichte|Wolfgang Maier|Yannick Parmentier|Johannes Dellert	
W94-0311		0.0	Evelyne Viegas|Pierrette Bouillon	
W91-0208		0.0	Nicholas Ostler|B T S Atkins	
P95-1020		0.0	Daniel Marcu|Graeme Hirst	
P04-3003		0.0	Jin Shea Kuo|Ying Kuei Yang	
C02-1066		0.0	Efrat Jaeger|Nissim Francez|Shuly Wintner	
C65-1005		0.0	Karel Culik	
C86-1011		0.0	Vladimir Pericliev|Ilarion Ilarionov	
E89-1007		0.0	Graeme D Ritchie	
W11-2037		0.0	Ron Artstein	
C94-1055		0.0	Dietmar Rösner|Manfred Stede	
P10-1050		0.0	Nobuhiro Kaji|Yasuhiro Fujiwara|Naoki Yoshinaga|Masaru Kitsuregawa	
W13-2130		0.0	Sina Zarriess|Kyle Richardson	
W02-0708		0.0	Lori S Levin|Donna M Gates|Dorcas Pianta|Roldano Cattoni|Nadia Mana|Kay Peterson|Alon Lavie|Fabio Pianesi	
C82-2068		0.0	Jan Sabrsula|Jitka Svobodova|Jaroslav Svoboda	
P13-1083		0.0	Akihiro Tamura|Taro Watanabe|Eiichiro Sumita|Hiroya Takamura|Manabu Okumura	
A88-1001		0.0	Susan E Brennan	
N12-1077		0.0	Wen tau Yih|Vahed Qazvinian	
W05-1202		0.0	Julie Weeds|David Weir|Bill Keller	
W09-3415		0.0	Purev Jaimai|Odbayar Chimeddorj	
H91-1021		0.0	Lewis M Norton|Marcia C Linebarger|Deborah A Dahl|Nghi Nguyen	
P94-1003		0.0	Claire Grover|Chris Brew|Suresh Manandhar|Marc Moens	
W06-1515		0.0	Laura Kallmeyer|Frank Richter	
J09-3001		0.0	William Schuler|Stephen Wu|Lane Schwartz	
W13-2318		0.0	Yuka Tateisi|Yo Shidahara|Yusuke Miyao|Akiko Aizawa	
E12-1021		0.0	Jagadeesh Jagarlamudi|Hal Daume III|Raghavendra Udupa	
C69-6214		0.0	L M Khubohandani|W W Glover	
C10-1050		0.0	Katsuhiko Hayashi|Hajime Tsukada|Katsuhito Sudoh|Kevin Duh|Seiichi Yamamoto	
P85-1011		0.0	K Vijay Shanker|Aravind K Joshi	
W07-1105		0.0	Dolors Catala|Jorge Baptista	
C10-1026		0.0	Bart Cramer|Yi Zhang	
P97-1016		0.0	Young Suk Lee|Clifford J Weinstein|Stephanie Seneff|Dinesh Tummala	
W06-0114	0.0	0.0	Yu Zou|Min Hou|Yudong Chen|Fengguo Hu|Li Fu	Zou Yu|Hou Min|Chen Yudong|Hu Fengguo|Fu Li
H01-1027		0.0	Scott Miller|Sergey Bratus|Lance A Ramshaw|Ralph M Weischedel|Alex Zamanian	
W08-1510		0.0	Farzad Ehsani|Jim Kimzey|Elaine Zuber|Demitrios Master|Karen Sudre	
P09-1025		0.0	Neil McIntyre|Mirella Lapata	
P06-2125		0.0	Jing Zhu|Jian Hua Li	
L08-1554		0.0	Cosmin Adrian Bejan|Sanda M Harabagiu	
W08-0125		0.0	Raquel Fernández|Matthew Frampton|Patrick Ehlen|Matthew Purver|Stanley Peters	
H89-2005		0.0	Patti J Price	
W03-0418		0.0	Dominic R Jones|Cynthia A Thompson	
P84-1116		0.0	Jonathan Slocum	
I05-1049		0.0	Sriram Venkatapathy|Aravind K Joshi	
D13-1186		0.0	Prateek Jindal|Dan Roth	
C10-1034		0.0	Yajuan Duan|Long Jiang|Tao Qin|Ming Zhou|Heung Yeung Shum	
W07-2062		0.0	Daniele Pighin|Alessandro Moschitti|Roberto Basili	
L08-1229		0.0	Harald Hammarström|Christina Thornell|Malin Petzell|Torbjörn Westerlund	
D13-1035		0.0	Anais Cadilhac|Nicholas Asher|Farah Benamara|Alex Lascarides	
J90-4002		0.0	Andrew R Haas	
W04-1313		0.0	Aris Xanthos	
W07-0720		0.0	Marta Ruiz Costa Jussà|Josep M Crego|Patrik Lambert|Maxim Khalilov|José Fonollosa|A R|Josée B Mariño|Rafael E Banches	
P13-2013		0.0	Or Biran|Kathleen McKeown	
W10-4121		0.0	Hongyan Song|Tianfang Yao|Chunyu Kitt|Dongfeng Cai	
W06-1627		0.0	Hao Zhang|Daniel Gildea	
W05-1302		0.0	Benjamin Wellner|Jose M Castano|James Pustejovsky	
W10-4332		0.0	Ghislain Putois|Romain Laroche|Philippe Bretier	
W12-2402		0.0	Dana Movshovitz Attias|William W  Cohen	
A00-1022		0.0	Stephan Busemann|Sven Schmeier|Roman G Arens	
I08-2117		0.0	Manabu Sassano	
