id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,1.0,0.6666666666666666,0.8,,p vossen|a soroa,p vossen|g rigau|e agirre|a soroa|m monachini|r bartolini,g rigau|e agirre|m monachini|r bartolini
P12-2071,-1,0.0,-1,,j choi|m palmer,j choi|m palmer,
W04-1217,0.0,0.0,0.0,huy nguyen|c malvina nissim,s dingare|h nguyen|g sinclair|c manning|j finkel|m nissim,j finkel|s dingare|h nguyen|m nissim|c manning|g sinclair,huy nguyen|c malvina nissim
P06-1087,0.0,0.0,0.0,features|y and meni adler and michael elhadad,y goldberg|m adler|m elhadad,y goldberg|m adler|m elhadad,features|y and meni adler and michael elhadad
N06-4007,-1,0.0,-1,,t pedersen|a kulkarni,t pedersen|a kulkarni,
L08-1192,-1,0.0,-1,,l melnar|c liu,l melnar|c liu,
W00-1404,0.75,1.0,0.8571428571428571,authoring,,c brun|m dymetman|v lux,authoring|c brun|m dymetman|v lux
P04-2010,-1,0.0,-1,,b kouchnir,b kouchnir,
E87-1010,0.0,0.0,0.0,t and nicos frixou,e atwell|n frixou drakos,e atwell|n frixou drakos,t and nicos frixou
W09-0503,0.0,0.0,0.0,j dictations johannes matiasek|firstname. lastname@ofai. at harald trost,j matiasek|j jancsary|a klein|h trost,j matiasek|j jancsary|a klein|h trost,j dictations johannes matiasek|firstname. lastname@ofai. at harald trost
P11-1008,-1,0.0,-1,,a rush|m collins,a rush|m collins,
W04-0845,-1,0.0,-1,,g ngai|d wu|m carpuat|c wang,g ngai|d wu|m carpuat|c wang|c wang,
W06-1909,-1,0.0,-1,,s hartrumpf,s hartrumpf,
H89-1017,0.0,0.0,0.0,s|a hauptmann|e smith|w ward|and philip werner,s young,s young,s|a hauptmann|w ward|e smith|and philip werner
S13-1022,-1,0.0,-1,,e yeh,e yeh,
H94-1079,-1,0.0,-1,,d paul,d paul,
W96-0303,-1,0.0,-1,,t briscoe|a copestake,t briscoe|a copestake,
I05-4003,1.0,1.0,1.0,,,y zhang|h kashioka,y zhang|h kashioka
W10-1815,-1,0.0,-1,,c alm,c alm,
P07-2027,-1,0.0,-1,,s gupta|m purver|d jurafsky,s gupta|m purver|d jurafsky,
P13-1038,-1,0.0,-1,,k inui|y watanabe|n okazaki|j mizuno|k narisawa,k narisawa|y watanabe|j mizuno|n okazaki|k inui,
C10-2078,-1,0.0,-1,,l li|c sporleder,l li|c sporleder,
P08-2032,0.5,0.3333333333333333,0.4,u,m tsuchiya|s hida,m tsuchiya|s hida|s nakagawa,u|s nakagawa
J13-1007,0.5,0.5,0.5,m,m elhadad,y goldberg|m elhadad,y goldberg|m
