id	Precision	Recall	Truth	Predicted
W10-3301		0.0	agirre & soroa 2009|alvez & atserias 2008|ide & romary 2003|cimiano & handschuh 2003	
W05-0109		0.0	eyassu & gamback 2005	
P12-2071		0.0	søgaard 2011|spoustova & hajic 2009|daume & iii 2007|toutanova & klein 2003|shen & satta 2007	
I08-4029		0.0	ramshaw & marcus 1995|gao & wu 2004|wu & lee 2006|kudo & yamamoto 2004|clark & curran 2003|wu & yang 2007|zhao & huang 2006|peng & feng 2004|shi 2005|ng & low 2004	
C94-1028		0.0	modina & shalyapina 1994	
W09-1325		0.0	ogren 2006|briscoe & carroll 2006|medlock & briscoe 2007|corbett & batchelor 2007	
W04-1217		0.0	mikheev & moens 1999|curran & clark 2003|mikheev & grover 1998|brants 2000|klein & manning 2003|klein & smarr 2003	
P06-1087		0.0	ramshaw & marcus 1995|tjong kim sang & buchholz 2000|adler & elhadad 2006|kudo & matsumoto 2000|kudo & matsumoto 2003|netzer & elhadad 1998|diab & hacioglu 2004|habash & rambow 2005|cardie & pierce 1998	
D13-1180		0.0	yannakoudakis & briscoe 2011|pedersen & patwardhan 2004|klein & manning 2003|toutanova & klein 2003|chen & zechner 2011	
W03-1807		0.0	smadja 1993|wehrli 1998|wu 1997|gale & church 1992|dagan & church 1994	
W11-1901		0.0	marcus & marcinkiewicz 1993|ponzetto & poesio 2009|versley 2007|vilain & burger 1995|cai & strube 2010|haghighi & klein 2010|soon & lim 2001|charniak & johnson 2005|hajic & ciaramita 2009|poesio & artstein 2005|ponzetto & strube 2005|surdeanu & johansson 2008|harabagiu & bunescu 2001|recasens & marquez 2010|stoyanov & gilbert 2009|babko malaya & bies 2006|culotta & wick 2007|ponzetto & strube 2006|luo 2005|morton 2000|charniak & johnson 2001|bergsma & lin 2006|ng 2010|denis & baldridge 2007|poesio 2004|palmer & gildea 2005|pradhan & ramshaw 2011|hovy & marcus 2006|rahman & ng 2009	
W06-1607		0.0	och 2003|koehn & och 2003|collins & brooks 1995|brown & della pietra 1993|zens & ney 2004|langlais & cao 2005|moore 2004|marcu & wong 2002	
N06-4007		0.0	purandare & pedersen 2004	
L08-1192		0.0	kessler 1995|somers 1998|maxwell & hughes 2006|nerbonne & heeringa 1997	
W00-1404		0.0	dymetman & lux 2000|coch 1996|power & scott 1998	
P04-2010		0.0	abney & schapire 1999|carreras & marquez 2002|soon & lim 2001|curran & clark 2003|strube & rapp 2002|muller & strube 2001|ng & cardie 2002|morton 2000|schmid & schulte im walde 2000	
W04-1710		0.0	van halteren 2002|meurers & penn 2002|gibbon & carson berndsen 1999|borin & dahllof 1999	
E87-1010		0.0	alshawi & boguraev 1985|atwell 1987	
W09-0503		0.0	jancsary & matiasek 2008	
P11-1008		0.0	chiang 2007|huang & mi 2010|iglesias & gispert 2009|gispert & de 2010|rush & sontag 2010|smith & eisner 2008|petrov & haghighi 2008|riedel & clarke 2006|huang & chiang 2007|shen & xu 2008|langkilde geary 2000|chiang 2005|tromble & eisner 2006|watanabe & tsukada 2006|kumar & byrne 2005	
C86-1041		0.0	akama 1986	
W04-0845		0.0	wicentowski & thomforde 2004|munoz & punyakanok 1999|gildea & jurafsky 2002|collins 1997|baker & fillmore 1998|carpuat & su 2004|ngai & florian 2001	
W06-1909		0.0	harabagiu & moldovan 2001	
H89-1017		0.0	borghesi & favareto 1982|fink & biermann 1986|grosz & sidner 1986	
C94-1096		0.0	gale & church 1993|smadja 1993|biber 1993|tong & huang 1993	
P11-2107		0.0	pan & hirschberg 2000|pan & mckeown 1999	
S13-1022		0.0	finch & hwang 2005|papineni & roukos 2002|huang & socher 2012|yeh & agirre 2012	
H94-1079		0.0	gillick & roth 1990|paul 1991	
W96-0303		0.0	church 1988|resnik 1995|black & jelinek 1993|briscoe & carroll 1993|schabes 1992|johnson & dorre 1995|bouma & van noord 1994|manning 1993|grishman & macleod 1994	
W13-3110		0.0	cristea & webber 1997|grosz & weinstein 1995|bangalore & stent 2009|cristea & ide 1998|orasan & cristea 2008	
I05-4003		0.0	dipper 2004|imamura & sumita 2003|prasad & miltsakaki 2004|gardent & amoia 2004	
W10-1815		0.0	wilson & wiebe 2005|wilson & wiebe 2003	
P84-1086		0.0	tsujii 1982|sakamoto & satoh 1984|tsujii & nakamura 1984|nakamura & tsujii 1984	
W13-2131		0.0	gardent 2008	
W12-4507		0.0	santos & lopes carvalho 2011|raghunathan & lee 2010|sapena & padro 2011|pradhan & moschitti 2012|chang & samdani 2011|lee & peirsman 2011|pradhan & ramshaw 2011	
P07-2027		0.0	jovanovic & op den akker 2006|stolcke & coccaro 2000|marcus & kim 1994|shriberg & dhillon 2004|muller 2006	
W10-4138		0.0	peng & feng 2004|tseng & chang 2005|zhang & kikui 2006|xue & shen 2003	
