id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,1.0,1.0,1.0,,,p vossen|g rigau|e agirre|a soroa|m monachini|r bartolini,p vossen|g rigau|e agirre|a soroa|m monachini|r bartolini
P12-2071,1.0,1.0,1.0,,,j choi|m palmer,j choi|m palmer
W04-1217,1.0,1.0,1.0,,,j finkel|s dingare|h nguyen|m nissim|c manning|g sinclair,j finkel|s dingare|h nguyen|m nissim|c manning|g sinclair
P06-1087,1.0,1.0,1.0,,,y goldberg|m adler|m elhadad,y goldberg|m adler|m elhadad
N06-4007,1.0,1.0,1.0,,,t pedersen|a kulkarni,t pedersen|a kulkarni
L08-1192,1.0,1.0,1.0,,,l melnar|c liu,l melnar|c liu
W00-1404,1.0,1.0,1.0,,,c brun|m dymetman|v lux,c brun|m dymetman|v lux
P04-2010,1.0,1.0,1.0,,,b kouchnir,b kouchnir
E87-1010,0.5,0.5,0.5,n drakos,n frixou drakos,e atwell|n frixou drakos,e atwell|n drakos
W09-0503,1.0,1.0,1.0,,,j matiasek|j jancsary|a klein|h trost,j matiasek|j jancsary|a klein|h trost
P11-1008,1.0,1.0,1.0,,,a rush|m collins,a rush|m collins
W04-0845,0.4,0.4,0.4000000000000001,h kong|hkust,g ngai|d wu,g ngai|d wu|m carpuat|c wang|c wang,m carpuat|c wang|c wang|h kong|hkust
W06-1909,1.0,1.0,1.0,,,s hartrumpf,s hartrumpf
H89-1017,1.0,1.0,1.0,,,s young,s young
S13-1022,0.5,1.0,0.6666666666666666,e agirre,,e yeh,e yeh|e agirre
H94-1079,1.0,1.0,1.0,,,d paul,d paul
W96-0303,0.5,1.0,0.6666666666666666,stanford|csli,,t briscoe|a copestake,t briscoe|a copestake|stanford|csli
I05-4003,1.0,1.0,1.0,,,y zhang|h kashioka,y zhang|h kashioka
W10-1815,1.0,1.0,1.0,,,c alm,c alm
P07-2027,1.0,1.0,1.0,,,s gupta|m purver|d jurafsky,s gupta|m purver|d jurafsky
P13-1038,1.0,1.0,1.0,,,k narisawa|y watanabe|j mizuno|n okazaki|k inui,k narisawa|y watanabe|j mizuno|n okazaki|k inui
C10-2078,1.0,1.0,1.0,,,l li|c sporleder,l li|c sporleder
P08-2032,1.0,0.6666666666666666,0.8,,s nakagawa,m tsuchiya|s hida|s nakagawa,m tsuchiya|s hida
J13-1007,1.0,1.0,1.0,,,y goldberg|m elhadad,y goldberg|m elhadad
W11-2153,0.75,0.75,0.75,z zabokrtsk´harles,z zabokrtsky,m popel|d marecek|n green|z zabokrtsky,m popel|d marecek|n green|z zabokrtsk´harles
D08-1047,0.6,0.75,0.6666666666666665,j ichi|t,j tsujii,n okazaki|y tsuruoka|s ananiadou|j tsujii,n okazaki|y tsuruoka|s ananiadou|j ichi|t
P04-1039,1.0,1.0,1.0,,,m diab,m diab
J03-3004,1.0,1.0,1.0,,,a way|n gough,a way|n gough
C10-2109,1.0,1.0,1.0,,,k parton|k mckeown,k parton|k mckeown
N12-1038,1.0,1.0,1.0,,,m scaiano|d inkpen,m scaiano|d inkpen
P06-1091,1.0,1.0,1.0,,,c tillmann|t zhang,c tillmann|t zhang
W00-1006,1.0,1.0,1.0,,,h schauer,h schauer
W97-1409,-1,0.0,-1,,e andre|t rist,e andre|t rist,
W02-1906,1.0,1.0,1.0,,,f llopis|j vicedo|a ferrandez,f llopis|j vicedo|a ferrandez
D07-1063,1.0,1.0,1.0,,,a tamura|h takamura|m okumura,a tamura|h takamura|m okumura
