id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,-1,0.0,-1,,nonEmpty,nonEmpty,
P12-2071,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W04-1217,-1,0.0,-1,,nonEmpty,nonEmpty,
P06-1087,-1,0.0,-1,,nonEmpty,nonEmpty,
N06-4007,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1192,-1,0.0,-1,,nonEmpty,nonEmpty,
W00-1404,-1,0.0,-1,,nonEmpty,nonEmpty,
P04-2010,-1,0.0,-1,,nonEmpty,nonEmpty,
E87-1010,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W09-0503,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P11-1008,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-0845,-1,0.0,-1,,nonEmpty,nonEmpty,
W06-1909,-1,0.0,-1,,nonEmpty,nonEmpty,
H89-1017,1.0,1.0,1.0,,,nonEmpty,nonEmpty
S13-1022,1.0,1.0,1.0,,,nonEmpty,nonEmpty
H94-1079,-1,0.0,-1,,nonEmpty,nonEmpty,
W96-0303,-1,0.0,-1,,nonEmpty,nonEmpty,
I05-4003,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W10-1815,-1,0.0,-1,,nonEmpty,nonEmpty,
P07-2027,-1,0.0,-1,,nonEmpty,nonEmpty,
P13-1038,-1,0.0,-1,,nonEmpty,nonEmpty,
C10-2078,-1,0.0,-1,,nonEmpty,nonEmpty,
P08-2032,1.0,1.0,1.0,,,nonEmpty,nonEmpty
J13-1007,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W11-2153,1.0,1.0,1.0,,,nonEmpty,nonEmpty
D08-1047,-1,0.0,-1,,nonEmpty,nonEmpty,
P04-1039,1.0,1.0,1.0,,,nonEmpty,nonEmpty
J03-3004,1.0,1.0,1.0,,,nonEmpty,nonEmpty
C10-2109,-1,0.0,-1,,nonEmpty,nonEmpty,
N12-1038,-1,0.0,-1,,nonEmpty,nonEmpty,
P06-1091,-1,0.0,-1,,nonEmpty,nonEmpty,
W00-1006,-1,0.0,-1,,nonEmpty,nonEmpty,
W97-1409,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W02-1906,-1,0.0,-1,,nonEmpty,nonEmpty,
D07-1063,-1,0.0,-1,,nonEmpty,nonEmpty,
P08-1035,-1,0.0,-1,,nonEmpty,nonEmpty,
S10-1097,-1,0.0,-1,,nonEmpty,nonEmpty,
P06-2041,-1,0.0,-1,,nonEmpty,nonEmpty,
C02-1066,1.0,1.0,1.0,,,nonEmpty,nonEmpty
E89-1007,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W11-2037,-1,0.0,-1,,nonEmpty,nonEmpty,
P10-1050,-1,0.0,-1,,nonEmpty,nonEmpty,
W02-0708,-1,0.0,-1,,nonEmpty,nonEmpty,
P13-1083,-1,0.0,-1,,nonEmpty,nonEmpty,
N12-1077,-1,0.0,-1,,nonEmpty,nonEmpty,
W05-1202,-1,0.0,-1,,nonEmpty,nonEmpty,
W09-3415,-1,0.0,-1,,nonEmpty,nonEmpty,
H91-1021,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P94-1003,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W06-1515,-1,0.0,-1,,nonEmpty,nonEmpty,
C10-1050,-1,0.0,-1,,nonEmpty,nonEmpty,
P09-1025,-1,0.0,-1,,nonEmpty,nonEmpty,
P06-2125,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1554,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W08-0125,-1,0.0,-1,,nonEmpty,nonEmpty,
W03-0418,-1,0.0,-1,,nonEmpty,nonEmpty,
I05-1049,1.0,1.0,1.0,,,nonEmpty,nonEmpty
C10-1034,-1,0.0,-1,,nonEmpty,nonEmpty,
W07-2062,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1229,-1,0.0,-1,,nonEmpty,nonEmpty,
D13-1035,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-1313,-1,0.0,-1,,nonEmpty,nonEmpty,
W07-0720,-1,0.0,-1,,nonEmpty,nonEmpty,
P13-2013,-1,0.0,-1,,nonEmpty,nonEmpty,
W06-1627,-1,0.0,-1,,nonEmpty,nonEmpty,
W05-1302,-1,0.0,-1,,nonEmpty,nonEmpty,
W10-4332,-1,0.0,-1,,nonEmpty,nonEmpty,
W12-2402,-1,0.0,-1,,nonEmpty,nonEmpty,
W01-0714,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1159,-1,0.0,-1,,nonEmpty,nonEmpty,
W06-1521,-1,0.0,-1,,nonEmpty,nonEmpty,
W08-1605,-1,0.0,-1,,nonEmpty,nonEmpty,
C04-1196,-1,0.0,-1,,nonEmpty,nonEmpty,
P02-1064,-1,0.0,-1,,nonEmpty,nonEmpty,
D11-1048,-1,0.0,-1,,nonEmpty,nonEmpty,
W09-2506,-1,0.0,-1,,nonEmpty,nonEmpty,
C90-1019,-1,0.0,-1,,nonEmpty,nonEmpty,
S10-1050,-1,0.0,-1,,nonEmpty,nonEmpty,
W12-6209,-1,0.0,-1,,nonEmpty,nonEmpty,
H91-1028,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W05-1517,-1,0.0,-1,,nonEmpty,nonEmpty,
E95-1031,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W07-1705,-1,0.0,-1,,nonEmpty,nonEmpty,
P03-2031,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W10-2910,-1,0.0,-1,,nonEmpty,nonEmpty,
P13-2151,-1,0.0,-1,,nonEmpty,nonEmpty,
S12-1087,-1,0.0,-1,,nonEmpty,nonEmpty,
W06-1504,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-2113,-1,0.0,-1,,nonEmpty,nonEmpty,
P00-1065,-1,0.0,-1,,nonEmpty,nonEmpty,
W10-3105,-1,0.0,-1,,nonEmpty,nonEmpty,
P06-4016,-1,0.0,-1,,nonEmpty,nonEmpty,
P13-1134,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-2807,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W06-2911,-1,0.0,-1,,nonEmpty,nonEmpty,
H94-1068,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W93-0114,-1,0.0,-1,,nonEmpty,nonEmpty,
P98-2151,1.0,1.0,1.0,,,nonEmpty,nonEmpty
N12-2006,-1,0.0,-1,,nonEmpty,nonEmpty,
W09-3953,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1502,1.0,1.0,1.0,,,nonEmpty,nonEmpty
C00-2098,-1,0.0,-1,,nonEmpty,nonEmpty,
P11-2061,-1,0.0,-1,,nonEmpty,nonEmpty,
W12-1620,-1,0.0,-1,,nonEmpty,nonEmpty,
P12-2042,-1,0.0,-1,,nonEmpty,nonEmpty,
D10-1019,1.0,1.0,1.0,,,nonEmpty,nonEmpty
E93-1027,-1,0.0,-1,,nonEmpty,nonEmpty,
W08-0707,-1,0.0,-1,,nonEmpty,nonEmpty,
W97-0121,-1,0.0,-1,,nonEmpty,nonEmpty,
J07-4003,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W05-0807,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-2008,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P06-1013,-1,0.0,-1,,nonEmpty,nonEmpty,
P01-1061,-1,0.0,-1,,nonEmpty,nonEmpty,
N13-2004,-1,0.0,-1,,nonEmpty,nonEmpty,
E12-2014,-1,0.0,-1,,nonEmpty,nonEmpty,
W08-0614,-1,0.0,-1,,nonEmpty,nonEmpty,
P12-1045,-1,0.0,-1,,nonEmpty,nonEmpty,
C08-1060,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1493,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W10-3604,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W04-1310,-1,0.0,-1,,nonEmpty,nonEmpty,
P12-2003,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1113,-1,0.0,-1,,nonEmpty,nonEmpty,
W97-0314,1.0,1.0,1.0,,,nonEmpty,nonEmpty
L08-1474,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P13-4022,-1,0.0,-1,,nonEmpty,nonEmpty,
P12-2024,-1,0.0,-1,,nonEmpty,nonEmpty,
W10-1826,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P83-1006,-1,0.0,-1,,nonEmpty,nonEmpty,
W05-1008,-1,0.0,-1,,nonEmpty,nonEmpty,
P08-3004,-1,0.0,-1,,nonEmpty,nonEmpty,
H01-1038,-1,0.0,-1,,nonEmpty,nonEmpty,
S13-2009,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P03-1010,1.0,1.0,1.0,,,nonEmpty,nonEmpty
S13-2087,-1,0.0,-1,,nonEmpty,nonEmpty,
W07-1409,-1,0.0,-1,,nonEmpty,nonEmpty,
W11-0612,-1,0.0,-1,,nonEmpty,nonEmpty,
P11-2112,1.0,1.0,1.0,,,nonEmpty,nonEmpty
D10-1031,-1,0.0,-1,,nonEmpty,nonEmpty,
W07-0312,-1,0.0,-1,,nonEmpty,nonEmpty,
S13-1020,-1,0.0,-1,,nonEmpty,nonEmpty,
W10-3216,1.0,1.0,1.0,,,nonEmpty,nonEmpty
J03-1006,-1,0.0,-1,,nonEmpty,nonEmpty,
C02-1014,1.0,1.0,1.0,,,nonEmpty,nonEmpty
N10-1144,-1,0.0,-1,,nonEmpty,nonEmpty,
W10-3803,-1,0.0,-1,,nonEmpty,nonEmpty,
C02-2022,-1,0.0,-1,,nonEmpty,nonEmpty,
W10-1731,-1,0.0,-1,,nonEmpty,nonEmpty,
P01-1031,-1,0.0,-1,,nonEmpty,nonEmpty,
P10-2014,-1,0.0,-1,,nonEmpty,nonEmpty,
S12-1007,-1,0.0,-1,,nonEmpty,nonEmpty,
D13-1194,-1,0.0,-1,,nonEmpty,nonEmpty,
D09-1002,-1,0.0,-1,,nonEmpty,nonEmpty,
H91-1017,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P11-4012,-1,0.0,-1,,nonEmpty,nonEmpty,
P10-1005,-1,0.0,-1,,nonEmpty,nonEmpty,
W09-1602,-1,0.0,-1,,nonEmpty,nonEmpty,
P07-1085,1.0,1.0,1.0,,,nonEmpty,nonEmpty
D12-1023,-1,0.0,-1,,nonEmpty,nonEmpty,
P13-1118,-1,0.0,-1,,nonEmpty,nonEmpty,
D13-1132,-1,0.0,-1,,nonEmpty,nonEmpty,
J06-2005,1.0,1.0,1.0,,,nonEmpty,nonEmpty
E93-1038,-1,0.0,-1,,nonEmpty,nonEmpty,
P07-1107,-1,0.0,-1,,nonEmpty,nonEmpty,
N09-2058,-1,0.0,-1,,nonEmpty,nonEmpty,
P10-1092,-1,0.0,-1,,nonEmpty,nonEmpty,
I05-1079,1.0,1.0,1.0,,,nonEmpty,nonEmpty
P84-1051,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W10-4331,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1060,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W10-4106,-1,0.0,-1,,nonEmpty,nonEmpty,
E89-1018,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-1506,-1,0.0,-1,,nonEmpty,nonEmpty,
P09-2033,-1,0.0,-1,,nonEmpty,nonEmpty,
W13-1732,-1,0.0,-1,,nonEmpty,nonEmpty,
W12-4302,-1,0.0,-1,,nonEmpty,nonEmpty,
N09-1001,1.0,1.0,1.0,,,nonEmpty,nonEmpty
N06-2032,-1,0.0,-1,,nonEmpty,nonEmpty,
C10-3009,-1,0.0,-1,,nonEmpty,nonEmpty,
H05-1113,-1,0.0,-1,,nonEmpty,nonEmpty,
W10-3306,1.0,1.0,1.0,,,nonEmpty,nonEmpty
C10-2151,-1,0.0,-1,,nonEmpty,nonEmpty,
W11-1415,-1,0.0,-1,,nonEmpty,nonEmpty,
P05-1043,-1,0.0,-1,,nonEmpty,nonEmpty,
P00-1076,-1,0.0,-1,,nonEmpty,nonEmpty,
P98-2162,1.0,1.0,1.0,,,nonEmpty,nonEmpty
D08-1071,-1,0.0,-1,,nonEmpty,nonEmpty,
P06-2046,-1,0.0,-1,,nonEmpty,nonEmpty,
W05-1604,-1,0.0,-1,,nonEmpty,nonEmpty,
I08-1051,-1,0.0,-1,,nonEmpty,nonEmpty,
W13-2120,-1,0.0,-1,,nonEmpty,nonEmpty,
N07-1038,-1,0.0,-1,,nonEmpty,nonEmpty,
P11-1105,-1,0.0,-1,,nonEmpty,nonEmpty,
I08-1037,1.0,1.0,1.0,,,nonEmpty,nonEmpty
H01-1072,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W08-1406,-1,0.0,-1,,nonEmpty,nonEmpty,
W11-0419,-1,0.0,-1,,nonEmpty,nonEmpty,
C65-1019,-1,0.0,-1,,nonEmpty,nonEmpty,
W12-2514,-1,0.0,-1,,nonEmpty,nonEmpty,
C08-1059,-1,0.0,-1,,nonEmpty,nonEmpty,
H05-1029,-1,0.0,-1,,nonEmpty,nonEmpty,
P89-1023,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W12-3126,-1,0.0,-1,,nonEmpty,nonEmpty,
N06-4009,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-2012,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W13-2715,-1,0.0,-1,,nonEmpty,nonEmpty,
N09-1042,1.0,1.0,1.0,,,nonEmpty,nonEmpty
W05-0634,-1,0.0,-1,,nonEmpty,nonEmpty,
L08-1519,-1,0.0,-1,,nonEmpty,nonEmpty,
W04-3103,-1,0.0,-1,,nonEmpty,nonEmpty,
W13-2217,-1,0.0,-1,,nonEmpty,nonEmpty,
