id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
W10-3301,0.0,0.0,0.0,Proceedings of the 6th Workshop on Ontologies and Lexical Resources,Proceedings of the 6th Workshop on  Ontologies and Lexical Resources ,Proceedings of the 6th Workshop on  Ontologies and Lexical Resources ,Proceedings of the 6th Workshop on Ontologies and Lexical Resources
P12-2071,0.0,0.0,0.0,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics,ACL,ACL,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics
W04-1217,0.0,0.0,0.0,ANLP 6,International Joint Workshop On Natural Language Processing In Biomedicine And Its Applications NLPBA BioNLP,International Joint Workshop On Natural Language Processing In Biomedicine And Its Applications NLPBA BioNLP,ANLP 6
P06-1087,0.0,0.0,0.0,Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the ACL,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics,Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the ACL
N06-4007,0.0,0.0,0.0,Proceedings of the Human Language Technology Conference of the NAACL, Companion Volume,Human Language Technology Conference And Meeting Of The North American Association For Computational Linguistics - Demonstrations,Human Language Technology Conference And Meeting Of The North American Association For Computational Linguistics - Demonstrations,Proceedings of the Human Language Technology Conference of the NAACL, Companion Volume
L08-1192,-1,0.0,-1,,LREC,LREC,
W00-1404,0.0,0.0,0.0,I::indications, Cl::contraindications, W::warnings, DI::drugsInteraction, PaBF::pregnancyAndBreastFeeding,International Conference On Natural Language Generation,International Conference On Natural Language Generation,I::indications, Cl::contraindications, W::warnings, DI::drugsInteraction, PaBF::pregnancyAndBreastFeeding
P04-2010,0.0,0.0,0.0,Proceedings of the Joint SIGDAT Con- ference on Empirical Methods in Natural Language Processing and Very Large Corpora,Annual Meeting Of The Association For Computational Linguistics - Student Research Workshop,Annual Meeting Of The Association For Computational Linguistics - Student Research Workshop,Proceedings of the Joint SIGDAT Con- ference on Empirical Methods in Natural Language Processing and Very Large Corpora
E87-1010,-1,0.0,-1,,Conference Of The European Association For Computational Linguistics,Conference Of The European Association For Computational Linguistics,
W09-0503,0.0,0.0,0.0,Proceedings of EACL 2009 Workshop on Semantic Representation of Spoken Language -SRSL 2009,Proceedings of SRSL 2009, the 2nd Workshop on Semantic Representation of Spoken Language,Proceedings of SRSL 2009, the 2nd Workshop on Semantic Representation of Spoken Language,Proceedings of EACL 2009 Workshop on Semantic Representation of Spoken Language -SRSL 2009
P11-1008,0.0,0.0,0.0,Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics,Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics
W04-0845,0.0,0.0,0.0,Proceedings of the Thirty-Sixth Annual Meeting of the Associa- tion for Computational Linguistics and Seventeenth International Conference on Computational Linguis- tics,SENSEVAL International Workshop On The Evaluation Of Systems For The Semantic Analysis Of Text,SENSEVAL International Workshop On The Evaluation Of Systems For The Semantic Analysis Of Text,Proceedings of the Thirty-Sixth Annual Meeting of the Associa- tion for Computational Linguistics and Seventeenth International Conference on Computational Linguis- tics
W06-1909,0.0,0.0,0.0,Proceedings of the 39th Annual Meeting of the Association for Computational Linguistics (ACL-2001),Workshop On Multilingual Question Answering MLQA,Workshop On Multilingual Question Answering MLQA,Proceedings of the 39th Annual Meeting of the Association for Computational Linguistics (ACL-2001)
H89-1017,0.0,0.0,0.0,Artificial Intelligence,Workshop On Speech And Natural Language,Workshop On Speech And Natural Language,Artificial Intelligence
S13-1022,0.0,0.0,0.0,Second Joint Conference on Lexical and Computational Semantics (*SEM) Proceedings of the Main Conference and the Shared Task,*SEM,*SEM,Second Joint Conference on Lexical and Computational Semantics (*SEM) Proceedings of the Main Conference and the Shared Task
H94-1079,0.0,0.0,0.0,IEEE Trans. Speech and Audio Processing,Human Language Technology Conference,Human Language Technology Conference,IEEE Trans. Speech and Audio Processing
W96-0303,0.0,0.0,0.0,Linguistic Inquiry Monograph,Workshop On Breadth And Depth Of Semantic Lexicons,Workshop On Breadth And Depth Of Semantic Lexicons,Linguistic Inquiry Monograph
I05-4003,0.0,0.0,0.0,IEEE Transactions on Knowl- edge and Data Engineering,Proceedings of the Fifth Workshop on Asian Language Resources (ALR-05) and First Symposium on Asian Language Resources Network (ALRN),Proceedings of the Fifth Workshop on Asian Language Resources (ALR-05) and First Symposium on Asian Language Resources Network (ALRN),IEEE Transactions on Knowl- edge and Data Engineering
W10-1815,0.0,0.0,0.0,Proceedings of the Fourth Linguistic Annotation Workshop, ACL 2010,Proceedings of the Fourth Linguistic Annotation Workshop,Proceedings of the Fourth Linguistic Annotation Workshop,Proceedings of the Fourth Linguistic Annotation Workshop, ACL 2010
P07-2027,0.0,0.0,0.0,Proceedings of the ACL 2007 Demo and Poster Sessions,45th Annual Meeting of the Association for Computational Linguistics Companion Volume Proceedings of the Demo and Poster Sessions,45th Annual Meeting of the Association for Computational Linguistics Companion Volume Proceedings of the Demo and Poster Sessions,Proceedings of the ACL 2007 Demo and Poster Sessions
P13-1038,0.0,0.0,0.0,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics,ACL,ACL,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics
C10-2078,0.0,0.0,0.0,Coling 2010: Poster Volume,COLING - POSTERS,COLING - POSTERS,Coling 2010: Poster Volume
P08-2032,0.0,0.0,0.0,Proceedings of ACL-08: HLT, Short Papers (Companion Volume),Annual Meeting Of The Association For Computational Linguistics,Annual Meeting Of The Association For Computational Linguistics,Proceedings of ACL-08: HLT, Short Papers (Companion Volume)
J13-1007,0.0,0.0,0.0,Treebanks: Building and Using Parsed Corpora,CL,CL,Treebanks: Building and Using Parsed Corpora
W11-2153,0.0,0.0,0.0,Proceedings of the 6th Workshop on Statistical Machine Translation,Proceedings of the Sixth Workshop on Statistical Machine Translation,Proceedings of the Sixth Workshop on Statistical Machine Translation,Proceedings of the 6th Workshop on Statistical Machine Translation
D08-1047,0.0,0.0,0.0,Proceedings of the 2008 Conference on Empirical Methods in Natural Language Processing,Conference On Empirical Methods In Natural Language Processing,Conference On Empirical Methods In Natural Language Processing,Proceedings of the 2008 Conference on Empirical Methods in Natural Language Processing
P04-1039,-1,0.0,-1,,Annual Meeting Of The Association For Computational Linguistics,Annual Meeting Of The Association For Computational Linguistics,
J03-3004,0.0,0.0,0.0,Proceedings of the Third International Conference on Language Resources and Evaluation (LREC),Computational Linguistics,Computational Linguistics,Proceedings of the Third International Conference on Language Resources and Evaluation (LREC)
C10-2109,0.0,0.0,0.0,GALE book,COLING - POSTERS,COLING - POSTERS,GALE book
N12-1038,0.0,0.0,0.0,2012 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,NAACL,NAACL,2012 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies
P06-1091,0.0,0.0,0.0,Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the ACL,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics,Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the ACL
W00-1006,0.0,0.0,0.0,Reference to Abstract Ob- jects in Discourse,SIGdial Workshop On Discourse And Dialogue,SIGdial Workshop On Discourse And Dialogue,Reference to Abstract Ob- jects in Discourse
W97-1409,0.0,0.0,0.0,Proc. of the I0 th HCAI,Workshop On Referring Phenomena In A Multimedia Context And Their Computational Treatment,Workshop On Referring Phenomena In A Multimedia Context And Their Computational Treatment,Proc. of the I0 th HCAI
W02-1906,0.0,0.0,0.0,References [1],Workshop On Multilingual Summarization And Question Answering,Workshop On Multilingual Summarization And Question Answering,References [1]
D07-1063,0.0,0.0,0.0,Proceedings of the 2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning,2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL),2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL),Proceedings of the 2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning
P08-1035,0.0,0.0,0.0,Proceedings of ACL-08: HLT,Annual Meeting Of The Association For Computational Linguistics,Annual Meeting Of The Association For Computational Linguistics,Proceedings of ACL-08: HLT
S10-1097,0.0,0.0,0.0,Proceedings of the 5th International Workshop on Semantic Evaluation, ACL 2010,Workshop on Semantic Evaluations (SemEval),Workshop on Semantic Evaluations (SemEval),Proceedings of the 5th International Workshop on Semantic Evaluation, ACL 2010
P06-2041,0.0,0.0,0.0,Proceedings of the COLING/ACL 2006 Main Conference Poster Sessions,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics - Poster Sessions,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics - Poster Sessions,Proceedings of the COLING/ACL 2006 Main Conference Poster Sessions
C02-1066,0.0,0.0,0.0,The Logic of Typed Fea- ture Structures. Cambridge Tracts in Theoretical Computer Science Noam Chomsky. 1975. Remarks on nominaliza- tion The Logic of Grammar,International Conference On Computational Linguistics,International Conference On Computational Linguistics,The Logic of Typed Fea- ture Structures. Cambridge Tracts in Theoretical Computer Science Noam Chomsky. 1975. Remarks on nominaliza- tion The Logic of Grammar
E89-1007,0.0,0.0,0.0,Texas Linguistic Forum,Conference Of The European Association For Computational Linguistics,Conference Of The European Association For Computational Linguistics,Texas Linguistic Forum
W11-2037,0.0,0.0,0.0,Proceedings of the SIGDIAL 2011: the 12th Annual Meeting of the Special Interest Group on Discourse and Dialogue,Proceedings of the SIGDIAL 2011 Conference,Proceedings of the SIGDIAL 2011 Conference,Proceedings of the SIGDIAL 2011: the 12th Annual Meeting of the Special Interest Group on Discourse and Dialogue
P10-1050,0.0,0.0,0.0,Proceedings of the 48th Annual Meeting of the Association for Computational Linguistics,ACL,ACL,Proceedings of the 48th Annual Meeting of the Association for Computational Linguistics
W02-0708,0.0,0.0,0.0,Machine Translation: A View from the Lexicon,Workshop On Speech-To-Speech Translation: Algorithms And Systems,Workshop On Speech-To-Speech Translation: Algorithms And Systems,Machine Translation: A View from the Lexicon
P13-1083,0.0,0.0,0.0,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics,ACL,ACL,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics
N12-1077,0.0,0.0,0.0,2012 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,NAACL,NAACL,2012 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies
W05-1202,0.0,0.0,0.0,Proceedings of the ACL Workshop on Empirical Modeling of Semantic Equivalence and Entailment,Workshop On Empirical Modeling Of Semantic Equivalence And Entailment,Workshop On Empirical Modeling Of Semantic Equivalence And Entailment,Proceedings of the ACL Workshop on Empirical Modeling of Semantic Equivalence and Entailment
W09-3415,0.0,0.0,0.0,ACL and AFNLP,Proceedings of the 7th Workshop on Asian Language Resources (ALR7),Proceedings of the 7th Workshop on Asian Language Resources (ALR7),ACL and AFNLP
H91-1021,0.0,0.0,0.0,Peoceedings of the DARPA Speech and Language Workshop,Workshop On Speech And Natural Language,Workshop On Speech And Natural Language,Peoceedings of the DARPA Speech and Language Workshop
P94-1003,0.0,0.0,0.0,Reference to Abstract Objects in Di- scourse,Annual Meeting Of The Association For Computational Linguistics,Annual Meeting Of The Association For Computational Linguistics,Reference to Abstract Objects in Di- scourse
W06-1515,0.0,0.0,0.0,Proceedings of the 8th International Workshop on Tree Adjoining Grammar and Related Formalisms,International Workshop On Tree Adjoining Grammar And Related Formalisms,International Workshop On Tree Adjoining Grammar And Related Formalisms,Proceedings of the 8th International Workshop on Tree Adjoining Grammar and Related Formalisms
C10-1050,0.0,0.0,0.0,Proceedings of the 23rd International Conference on Computational Linguistics,COLING,COLING,Proceedings of the 23rd International Conference on Computational Linguistics
P09-1025,0.0,0.0,0.0,Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP,ACL-IJCNLP,ACL-IJCNLP,Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP
P06-2125,0.0,0.0,0.0,Proceedings of the COLING/ACL 2006 Main Conference Poster Sessions,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics - Poster Sessions,International Conference On Computational Linguistics And Annual Meeting Of The Association For Computational Linguistics - Poster Sessions,Proceedings of the COLING/ACL 2006 Main Conference Poster Sessions
L08-1554,0.0,0.0,0.0,References,LREC,LREC,References
W08-0125,0.0,0.0,0.0,Proceedings of the 10th Inter- national Conference on Human-Computer Interaction,Proceedings of the 9th SIGdial Workshop on Discourse and Dialogue,Proceedings of the 9th SIGdial Workshop on Discourse and Dialogue,Proceedings of the 10th Inter- national Conference on Human-Computer Interaction
W03-0418,0.0,0.0,0.0,Constructing scripts from components: Working note 6. Unpublished manuscript,Conference On Computational Natural Language Learning CoNLL,Conference On Computational Natural Language Learning CoNLL,Constructing scripts from components: Working note 6. Unpublished manuscript
